"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 10 16:19:45 IST 2024","Wed Jan 10 16:19:56 IST 2024","11617","Google Chrome","testSuite.spec.js","","","","GlobalSuppressionsPage",""
"failed","Wed Jan 10 16:16:24 IST 2024","Wed Jan 10 16:16:40 IST 2024","16295","chromium","testSuite.spec.js","","","","GlobalSuppressionsPage",""
"failed","Wed Jan 10 16:17:36 IST 2024","Wed Jan 10 16:17:48 IST 2024","12667","webkit","testSuite.spec.js","","","","SettingsPage",""
"failed","Wed Jan 10 16:19:34 IST 2024","Wed Jan 10 16:19:46 IST 2024","12380","Google Chrome","testSuite.spec.js","","","","ImportContactsPage",""
"failed","Wed Jan 10 16:19:00 IST 2024","Wed Jan 10 16:19:16 IST 2024","15867","Google Chrome","testSuite.spec.js","","","","DashboardPage",""
"failed","Wed Jan 10 16:18:22 IST 2024","Wed Jan 10 16:18:38 IST 2024","16433","Microsoft Edge","testSuite.spec.js","","","","ImportContactsPage",""
"failed","Wed Jan 10 16:15:57 IST 2024","Wed Jan 10 16:16:11 IST 2024","13967","chromium","testSuite.spec.js","","","","MessagesTab",""
"failed","Wed Jan 10 16:16:51 IST 2024","Wed Jan 10 16:17:07 IST 2024","16085","webkit","testSuite.spec.js","","","","DashboardPage",""
"failed","Wed Jan 10 16:18:39 IST 2024","Wed Jan 10 16:18:55 IST 2024","16843","Microsoft Edge","testSuite.spec.js","","","","SettingsPage",""
"failed","Wed Jan 10 16:17:56 IST 2024","Wed Jan 10 16:18:06 IST 2024","10333","Microsoft Edge","testSuite.spec.js","","","","ReportsTab",""
"failed","Wed Jan 10 16:17:07 IST 2024","Wed Jan 10 16:17:23 IST 2024","15964","webkit","testSuite.spec.js","","","","MessagesTab",""
"failed","Wed Jan 10 16:19:18 IST 2024","Wed Jan 10 16:19:33 IST 2024","15405","Google Chrome","testSuite.spec.js","","","","ContactsTab",""
"failed","Wed Jan 10 16:19:57 IST 2024","Wed Jan 10 16:20:12 IST 2024","14529","Google Chrome","testSuite.spec.js","","","","HelpPage",""
"failed","Wed Jan 10 16:17:32 IST 2024","Wed Jan 10 16:17:45 IST 2024","12726","webkit","testSuite.spec.js","","","","GlobalSuppressionsPage",""
